FECHA,PERIÓDICO,LINK ARTÍCULO
07/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180207/presentan-solicitud-declarar-emergencia-departamental-cochabamba
07/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180207/asamblea-aprueba-declaratoria-emergencia-cochabamba-lluvias
07/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180207/consternacion-temor-tierra-flores-familias-abandonan-sus-viviendas-0
07/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180207/evo-expresa-su-pesar-perdida-vidas-humanas-riada-tiquipaya
08/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180208/tiquipaya-rescatan-cuerpo-al-menos-seis-personas-siguen-atrapadas
08/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180208/deforestacion-incendios-falta-manejo-cuencas-causaron-aluvion
08/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180208/maquinaria-pesada-brigadas-llegan-destiempo-zona
08/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180208/familias-desalojan-sus-casas-temor-nuevo-desborde
08/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180208/imagenes-aereas-muestran-magnitud-del-desastre-tiquipaya-0
08/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180208/ministro-defensa-pide-evacuacion-familias-riesgo-encausar-rio
08/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180208/mapa-interactivo-cochabamba-conozca-puntos-que-reciben-ayuda
08/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180208/lodo-ocupa-mas-casas-tiquipaya-e-intensifican-busqueda-desaparecidos
08/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180208/maquinaria-pesada-trabaja-encauce-del-rio-amenaza-lluvias
08/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180208/tiquipaya-rescatan-mas-66-mascotas-piden-identificarlas
09/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180209/suman-24-casas-sepultadas-lodo-que-arrastro-rio-taquina
09/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180209/tres-dias-desastre-aun-no-hay-cordones-seguridad-tiquipaya
09/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180209/lluvia-registrada-miercoles-es-mas-intensa-ultimos-cinco-anos
09/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180209/cadenas-humanas-colaboran-rescate-evacuacion-viviendas
09/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180209/equipos-trabajo-aun-no-pueden-encauzar-rio-tiquipaya
09/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180209/imagenes-muestran-antes-despues-del-desastre-tiquipaya
09/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180209/hallan-cuerpo-segunda-victima-mazamorra-tiquipaya
09/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180209/vecinos-tiquipaya-piden-mejor-distribucion-ayuda-humanitaria-mas
09/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180209/encuentran-cuerpo-tercera-victima-mazamorra-tiquipaya
10/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180210/rescatan-otros-dos-cuerpos-cifra-fallecidos-se-eleva-tres
10/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180210/falta-organizacion-genera-caos-puntos-acopio-productos
10/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180210/persiste-riesgo-deslizamiento-otras-17-hectareas-linku-pata
10/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180210/tiquipaya-destituyen-funcionarios-acusados-robar-donaciones
10/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180210/hallan-cuerpo-cuarta-victima-tiquipaya
10/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180210/nuevo-albergue-transitorio-mascotas-llevara-nombre-nino-que-murio
11/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180211/varias-cuencas-del-tunari-corren-riesgo-deslizarse-7-municipios
11/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180211/parte-alta-cuenca-taquina-no-fue-intervenida-1990
11/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180211/tiquipaya-motiva-solidaridad-poblacion-cochabambina
11/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180211/despiden-4-funcionarios-cierran-centro-acopio-denuncias
11/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180211/hallan-cuarto-cuerpo-continua-busqueda-adulto-mayor
11/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180211/gobierno-dice-que-familias-tiquipaya-pueden-volver-sus-casas
12/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180212/cuenca-taquina-no-recibio-manejo-conflicto-dos-sindicatos
12/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180212/730-personas-fueron-afectadas-alud-se-dificulta-hallazgo-cuerpo
12/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180212/encuentran-quinta-victima-del-desastre-tiquipaya
14/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180214/tiquipaya-avanzan-trabajos-limpieza-pero-estabilizacion-cuenca
14/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180215/estudio-intervenir-cuenca-taquina-demorara-6-meses
15/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180215/vecinos-tiquipaya-bloquean-exigiendo-apoyo-constante-limpieza
16/02/2018,Los Tiempos,https://www.lostiempos.com/actualidad/cochabamba/20180216/ultimos-15-anos-casas-se-proliferaron-cerca-del-rio-taquina
